groimp_day,date,groimp_lai_3d,groimp_light_interception,groimp_intercepted_par,layer_light_0,layer_light_1,layer_light_2,layer_light_3,layer_light_4,layer_lai_0,layer_lai_1,layer_lai_2,layer_lai_3,layer_lai_4,groimp_plant_height,groimp_n_leaves,groimp_n_active_leaves,sun_photo,shade_photo,total_photo,tmax,tmin,irradiation,rain,tdew,tavg,rh_avg,daylight_sec,sunshine_sec,water_stress,soil_water
1,2025-04-28,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.00,2,2,0.00,0.00,0.00,35.7,15.8,22.9,0.0,3.5,26.4,0.228,50332,35455,0.00,98
2,2025-04-29,0.001152,0.000822,0.0072,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.10,3,3,0.00,0.00,0.00,26.9,20.7,18.2,0.0,4.2,24.1,0.275,50468,35612,0.00,97
3,2025-04-30,0.003248,0.002317,0.0250,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.10,3,3,0.00,0.00,0.00,26.8,17.4,22.5,0.0,1.9,22.1,0.263,50603,35806,0.00,96
4,2025-05-01,0.005290,0.003770,0.0417,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.10,3,3,0.00,0.00,0.00,31.7,19.1,23.1,0.0,3.4,24.7,0.250,50735,35761,0.00,94
5,2025-05-02,0.007725,0.005501,0.0610,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.24,4,4,0.00,0.00,0.00,29.1,16.3,23.1,0.0,1.5,23.5,0.235,50865,35959,0.00,93
6,2025-05-03,0.012220,0.008688,0.0976,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.68,4,4,0.00,0.00,0.00,31.5,12.3,23.4,0.0,4.4,22.5,0.308,50993,36401,0.00,91
7,2025-05-04,0.008635,0.006147,0.0691,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0002,2.92,4,4,0.00,0.00,0.00,27.5,17.9,23.4,0.0,-0.5,22.9,0.212,51120,36117,0.00,89
8,2025-05-05,0.004509,0.003214,0.0357,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0004,3.47,5,5,0.00,0.00,0.00,30.0,15.5,23.1,0.0,-1.8,22.6,0.196,51245,36319,0.00,88
9,2025-05-06,0.008112,0.005776,0.0569,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0015,5.03,5,5,0.00,0.00,0.00,29.0,17.9,20.5,0.0,1.2,23.1,0.236,51369,35791,0.00,86
10,2025-05-07,0.029575,0.020897,0.2249,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0011,6.31,5,5,0.00,0.00,0.00,32.6,15.4,22.4,0.0,3.8,24.3,0.265,51492,36729,0.00,84
11,2025-05-08,0.022816,0.016160,0.1561,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0021,6.83,6,6,0.00,0.00,0.00,27.6,19.4,20.1,0.0,3.9,23.8,0.275,51613,35930,0.00,83
12,2025-05-09,0.042320,0.029767,0.3226,0.0000,0.0000,0.0000,0.2537,0.7463,0.0000,0.0000,0.0000,0.0007,0.0022,7.65,6,6,0.00,0.00,0.00,29.6,12.3,22.6,0.0,5.5,22.0,0.341,51733,37144,0.00,82
13,2025-05-10,0.059419,0.041540,0.4686,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0021,9.69,6,6,0.00,0.00,0.00,31.0,16.4,23.5,0.0,6.9,23.8,0.338,51851,37601,0.00,80
14,2025-05-11,0.041348,0.029093,0.3317,0.0000,0.0000,0.0000,0.5037,0.4963,0.0000,0.0000,0.0000,0.0014,0.0020,10.58,7,7,0.00,0.00,0.00,33.7,15.3,23.8,0.0,8.2,24.5,0.354,51967,37320,0.00,78
15,2025-05-12,0.067016,0.046725,0.5376,0.0000,0.0000,0.0000,0.5580,0.4420,0.0000,0.0000,0.0000,0.0026,0.0019,10.92,7,7,0.00,0.00,0.00,34.9,15.3,24.0,0.0,8.2,25.2,0.340,52082,37533,0.00,76
16,2025-05-13,0.089959,0.062213,0.7167,0.0000,0.0000,0.0000,0.0347,0.9653,0.0000,0.0000,0.0000,0.0012,0.0024,12.99,7,7,0.00,0.00,0.00,35.6,16.5,24.0,0.0,9.5,26.3,0.348,52194,37748,0.00,73
17,2025-05-14,0.073800,0.051332,0.5891,0.0000,0.0000,0.0000,0.1601,0.8399,0.0000,0.0000,0.0000,0.0017,0.0038,14.72,8,8,0.00,0.00,0.00,37.0,17.7,23.9,0.0,8.1,27.5,0.295,52304,37965,0.00,71
18,2025-05-15,0.109651,0.075305,0.7887,0.0000,0.0000,0.0000,0.3705,0.6295,0.0000,0.0000,0.0000,0.0033,0.0038,15.25,8,8,1.08,1.11,2.19,33.3,19.5,21.8,0.0,4.7,26.9,0.241,52412,37438,0.00,70
