config,year,lint_yield_kgha,yield_obs_kgha,yield_err_pct,harvest_eff,path3_upper,lai_peak_sim,lai_peak_obs,lai_peak_dae_sim,lai_n,lai_NSE,lai_RMSE,lai_nRMSE_pct,lai_MBE,lai_MAE,lai_d,lai_r
NudgeON,2025,3196.2,3163.0,1.05,0.7705,4148.0,4.3644,4.2,74.0,20,0.97274,0.23604,11.06345,-0.10128,0.15579,0.99275,0.98999
NudgeOFF,2025,3320.7,3163.0,4.99,0.8006,4148.0,4.7766,4.2,74.0,20,0.98214,0.19106,8.95545,0.0291,0.1385,0.99562,0.99171
