config,year,lint_yield_kgha,yield_obs_kgha,yield_err_pct,harvest_eff,path3_upper,lai_peak_sim,lai_peak_obs,lai_peak_dae_sim,lai_n,lai_NSE,lai_RMSE,lai_nRMSE_pct,lai_MBE,lai_MAE,lai_d,lai_r,height_n,height_NSE,height_RMSE,height_nRMSE_pct,height_MBE,height_MAE,height_d,height_r
NudgeON,2022,2946.0,2948.4,-0.08,0.7187,4099.2,4.1629,4.063,4.162893,15,0.95783,0.28026,11.45479,-0.17598,0.235,0.98866,0.98898,15,0.98884,2.77256,5.4475,0.03267,2.25267,0.99718,0.99441
NudgeOFF,2022,3061.9,2948.4,3.85,0.747,4099.2,4.4662,4.063,4.466213,15,0.97991,0.19344,7.90648,-0.07351,0.15339,0.99486,0.99142,15,0.98884,2.77256,5.4475,0.03267,2.25267,0.99718,0.99441
